time;temperature at 2m;relative humidity;precipitation;wind_speed
2022-10-15-12-30;15.1;78;0;0.8
2022-10-15-12-40;15.3;76;0;0.9
2022-10-15-12-50;15.5;75;0;0.8
2022-10-15-13-00;15.8;74;0;0.9
2022-10-15-13-10;15.9;74;0;1
2022-10-15-13-20;16;74;0;0.9
2022-10-15-13-30;16.2;74;0;1.1
2022-10-15-13-40;16.2;73;0;0.7
2022-10-15-13-50;16.4;73;0;1
2022-10-15-14-00;16.7;72;0;0.5
2022-10-15-14-10;16.9;71;0;1
2022-10-15-14-20;17.1;70;0;0.9
2022-10-15-14-30;17;71;0;1.6
2022-10-15-14-40;17.2;71;0;0.9
2022-10-15-14-50;17.3;70;0;0.9
2022-10-15-15-00;17.3;71;0;1.1
2022-10-15-15-10;17.4;71;0;1.1
2022-10-15-15-20;17.5;69;0;1.1
2022-10-15-15-30;17.6;70;0;1.1
2022-10-15-15-40;17.6;70;0;1.4
2022-10-15-15-50;17.6;71;0;0.8
2022-10-15-16-00;17.6;71;0;0.8
2022-10-15-16-10;17.6;71;0;1.1
2022-10-15-16-20;17.6;71;0;0.9
2022-10-15-16-30;17.7;70;0;0.8
2022-10-15-16-40;17.7;71;0;1.5
2022-10-15-16-50;17.5;73;0;1.6
2022-10-15-17-00;17.1;75;0;1.5
2022-10-15-17-10;16.8;76;0;0.7
2022-10-15-17-20;16.4;77;0;0.7
2022-10-15-17-30;16;80;0;0.9
2022-10-15-17-40;15.6;82;0;0.9
2022-10-15-17-50;15.2;83;0;0.6
2022-10-15-18-00;14.8;85;0;0.5
2022-10-15-18-10;14.6;86;0;0.4
2022-10-15-18-20;14.2;88;0;0.3
2022-10-15-18-30;14;89;0;0.7
2022-10-15-18-40;13.7;90;0;0.8
2022-10-15-18-50;13.5;91;0;0.8
2022-10-15-19-00;13.5;91;0;0.8
2022-10-15-19-10;13.6;92;0;1.1
2022-10-15-19-20;13.6;91;0;1.2
2022-10-15-19-30;13.3;92;0;0.7
2022-10-15-19-40;13.2;93;0;0.9
2022-10-15-19-50;13;93;0;0.5
2022-10-15-20-00;12.8;93;0;0.3
2022-10-15-20-10;12.6;94;0;0.4
2022-10-15-20-20;12.5;94;0;0.5
2022-10-15-20-30;12.5;95;0;0.4
2022-10-15-20-40;12.3;95;0;0.2
2022-10-15-20-50;12.1;95;0;0.5
2022-10-15-21-00;12.1;95;0;0.8
2022-10-15-21-10;12;96;0;0.9
2022-10-15-21-20;11.8;96;0;0.5
2022-10-15-21-30;11.6;96;0;0.8
2022-10-15-21-40;11.6;96;0;0.7
2022-10-15-21-50;11.4;96;0;0.6
2022-10-15-22-00;11.6;96;0;0.7
2022-10-15-22-10;11.6;97;0;0.5
2022-10-15-22-20;11.4;96;0;0.8
2022-10-15-22-30;11.4;96;0;0.6
2022-10-15-22-40;11.4;97;0;0.9
2022-10-15-22-50;11.2;97;0;0.9
2022-10-15-23-00;11.2;96;0;1
2022-10-15-23-10;11;97;0;0.6
2022-10-15-23-20;10.8;97;0;0.5
2022-10-15-23-30;10.8;96;0;0.5
2022-10-15-23-40;10.6;96;0;0.6
2022-10-15-23-50;10.7;97;0;0.5
2022-10-16-00-00;10.4;97;0;0.5
2022-10-16-00-10;10.2;97;0;0.5
2022-10-16-00-20;10.2;97;0;0.4
2022-10-16-00-30;10.2;97;0;0.7
2022-10-16-00-40;10.2;97;0;0.9
2022-10-16-00-50;10.1;96;0;0.9
2022-10-16-01-00;10;97;0;0.5
2022-10-16-01-10;9.7;97;0;0.4
2022-10-16-01-20;9.7;96;0;0.6
2022-10-16-01-30;9.6;97;0;0.7
2022-10-16-01-40;9.7;97;0;0.6
2022-10-16-01-50;9.6;97;0;0.6
2022-10-16-02-00;9.5;97;0;0.6
2022-10-16-02-10;9.4;98;0;0.9
2022-10-16-02-20;9.4;98;0;0.6
2022-10-16-02-30;9.5;98;0;0.6
2022-10-16-02-40;9.5;98;0;0.6
2022-10-16-02-50;9.3;98;0;0.5
2022-10-16-03-00;9.3;99;0;0.5
2022-10-16-03-10;9.4;99;0;0.9
2022-10-16-03-20;9.4;99;0;0.4
2022-10-16-03-30;9.4;98;0;0.6
2022-10-16-03-40;9.4;99;0;0.4
2022-10-16-03-50;9.3;99;0;0.4
2022-10-16-04-00;9.3;99;0;0.5
2022-10-16-04-10;9.3;99;0;0.8
2022-10-16-04-20;9.2;98;0;0.7
2022-10-16-04-30;9.1;99;0;0.7
2022-10-16-04-40;9;99;0;1
2022-10-16-04-50;9;99;0;0.6
2022-10-16-05-00;8.9;99;0;0.6
2022-10-16-05-10;9;99;0;0.6
2022-10-16-05-20;9;99;0;0.9
2022-10-16-05-30;9;99;0;0.6
2022-10-16-05-40;9;99;0;0.6
2022-10-16-05-50;9;99;0;0.6
